name,length
Boloria sipora,3.56
Colotis amata,3.56
Acraea orestia,3.55
Ancyluris inca,3.55
Colias hecla,3.54
Atlides halesus,3.52
Acraea rahira,3.5
Cephrenes trichopepla,3.5
Boloria caucasica,3.49
Colotis vestalis,3.49
Atalopedes campestris,3.48
Coenonympha mongolica,3.48
Abisara saturata,3.45
Anartia lytrea,3.45
Chlosyne theona,3.44
Anthocharis cethura,3.43
Cheritra orpheus,3.43
Anthocharis damone,3.42
Cepheuptychia cephus,3.42
Colias nastes,3.41
Boloria selene,3.4
Brenthis hecate,3.39
Boloria eunomia,3.38
Colias behrii,3.38
Colotis agoye,3.38
Abisara neavei,3.37
Boloria aquilonaris,3.37
Colotis aurora,3.37
Boloria freija,3.34
Boloria improba,3.34
Boloria napaea,3.34
Calisto pulchella,3.32
Chersonesia rahria,3.32
Anthanassa atronia,3.31
Anthocharis sara,3.31
Clossiana selenis,3.31
Cyrenia martia,3.31
Alesa amesis,3.29
Ancyluris colubra,3.29
Coenonympha arcania,3.29
Amblypodia annetta,3.27
Acraea acerata,3.26
Colotis chrysonome,3.25
Chlosyne hoffmanni,3.24
Anthocharis cardamines,3.23
Araschnia burejana,3.23
Anthocharis midea,3.22
Borbo borbonica,3.22
Boloria chariclea,3.21
Boloria polaris,3.21
Coreana raphaelis,3.19
Ancyluris etias,3.18
Cartea vitula,3.18
Catocyclotis aemulius,3.17
Antigius attilia,3.13
Anthocharis gruneri,3.12
Coenonympha darwiniana,3.11
Colias euxanthe,3.09
Cigaritis natalensis,3.07
Arhopala muta,3.06
Boloria alaskensis,3.06
Clossiana dia,3.06
Baltia butleri,3.05
Coenonympha sunbecca,3.05
Ancyluris jurgensenii,3.04
Colotis vesta,3.02
Amarynthis meneria,3.01
Carcharodus lavatherae,3
Celastrina argiolus,3
Coenonympha hero,3
Arhopala helianthes,2.98
Chamaelimnas briola,2.98
Anteros renaldus,2.97
Araragi enthea,2.97
Celastrina oreas,2.97
Cigaritis syama,2.96
Coenonympha tullia,2.95
Ancyluris aulestes,2.93
Coenonympha dorus,2.93
Cigaritis lohita,2.92
Coenonympha gardetta,2.92
Anthocharis belia,2.91
Aphnaeus orcas,2.91
Caria plutargus,2.89
Coenonympha mahometana,2.89
Coenonympha amaryllis,2.88
Anteros bracteata,2.87
Araschnia levana,2.87
Ancyluris meliboeus,2.86
Auca nycteropus,2.86
Cupido argiades,2.86
Coenonympha glycerion,2.85
Arcas imperialis,2.83
Anthocharis euphenoides,2.79
Ancema ctesia,2.78
Cupido osiris,2.78
Carcharodus alceae,2.77
Anthanassa frisia,2.76
Celastrina sugitanii,2.74
Colotis evagore,2.73
Bindahara phocides,2.72
Callophrys rubi,2.72
Colotis pallene,2.72
Coenonympha leander,2.7
Acraea uvui,2.68
Coenonympha vaucheri,2.68
Alpherakya devanica,2.67
Arawacus dolylas,2.64
Axiocerses harpax,2.64
Colotis daira,2.64
Cyaniris semiargus,2.64
Anthene lycaenoides,2.63
Caleta roxus,2.63
Axiocerses amanga,2.61
Cupido alcetas,2.61
Cyanophrys herodotus,2.6
Coenonympha arcanioides,2.59
Carterocephalus silvicola,2.58
Ankola fan,2.57
Callophrys spinetorum,2.57
Coenonympha rhodopensis,2.56
Cupidopsis jobates,2.54
Anthanassa otanes,2.52
Afarsia sieversii,2.51
Aricia anteros,2.51
Alpherakya sarta,2.5
Caria trochilus,2.49
Catochrysops panormus,2.49
Brachyglenis esthema,2.47
Coenonympha corinna,2.47
Anthene larydas,2.44
Calisto obscura,2.44
Celastrina echo,2.44
Celastrina lucia,2.43
Chaetoprocta odata,2.43
Choranthus haitensis,2.43
Callophrys eryphon,2.42
Cacyreus lingeus,2.4
Cupido amyntula,2.36
Aricia morronensis,2.35
Callophrys augustinus,2.35
Callophrys polios,2.35
Carterocephalus palaemon,2.35
Coenonympha pamphilus,2.35
Appia appia,2.34
Agriades glandon,2.33
Azanus jesous,2.32
Callophrys gryneus,2.31
Calydna hiria,2.3
Baeotis bacaenis,2.29
Agriades pyrenaicus,2.27
Celastrina lavendularis,2.27
Agriades pheretiades,2.25
Caria castalia,2.25
Aricia agestis,2.24
Agriades optilete,2.23
Aricia artaxerxes,2.22
Coenonympha saadi,2.2
Cigaritis cilissa,2.19
Cupido minimus,2.18
Callophrys henrici,2.17
Aricia cramera,2.16
Cyclyrius webbianus,2.14
Baeotis elegantula,2.13
Calycopis isobeon,2.12
Callophrys sheridanii,2.1
Cigaritis zohra,2.1
Callophrys niphon,2.09
Arawacus sito,2.07
Agriades lehanus,2.06
Agriades orbitulus,2.05
Coenonympha thyrsis,2.02
Calycopis demonassa,1.99
Cupido lorquinii,1.99
Cacyreus marshalli,1.89
Calycopis atnius,1.8
Brephidium exilis,1.54
